	instance	n	alpha	greedy_cost	metaheuristic	iteration	time	cost	route	start	valid
0	./A-VRP/A-n32-k5.vrp	32	0.0	1137	GRASP	0	1.0624985694885254	998	"[ 0 20  5 25 10 15 22 18  8 28 14 27 24 26 13 16  7 29 30 12 17 19 31 21
  6 23  2  3  4 11  9  1]"	"[False  True False False False False False False False False False  True
 False False False False False False  True False False False False False
  True False False False False False False  True]"	True
1	./A-VRP/A-n32-k5.vrp	32	0.0	1137	ILS	0	1.3360283374786377	992	"[ 0 30 16  7  1 12 26 14  8 18 29 22  9 15 10 25  5 20 13 21 19 17 31  3
  6 28  4 11  2 23 27 24]"	"[False  True False False False False False False False False  True False
 False False False False False False  True False False False False False
 False  True False False False False False  True]"	True
2	./A-VRP/A-n32-k5.vrp	32	0.0	1137	Simulated Annealing	0	4.234372615814209	821	"[ 0 29 22  8 11  4 28 23  2  3  6 18  9 15 10 25  5 20 26  7 13 17 19 31
 21 30 12  1 16 14 24 27]"	"[False  True False False False False False False False False  True False
 False False False False False False  True False False False False False
 False  True False False False False False  True]"	True
3	./A-VRP/A-n32-k5.vrp	32	0.0	1137	Tabu Search	0	1.781862497329712	964	"[ 0 30 26 16 12  1  7  8 18 14 27 20  5 25 10 15 22 29 13 21 31 19 17  3
  6  2 23 28  4 11  9 24]"	"[False  True False False False False False False False False  True False
 False False False False False False  True False False False False False
 False  True False False False False False  True]"	True
4	./A-VRP/A-n32-k5.vrp	32	0.0	1137	GRASP Tabu	0	2.81250262260437	911	"[ 0 14 24 27 29  7 16 26 30  6  2  3 23  4 11 28 18 22 20  5 25 10 15  9
  8  1 21 31 19 17 13 12]"	"[False  True False False False False False False False  True False False
 False False False False False False  True False False False False False
 False  True False False False False False  True]"	True
5	./A-VRP/A-n32-k5.vrp	32	0.0	1137	ILS Tabu	0	3.18749737739563	903	"[ 0 12  1 16 26  6 18  8  9 22 27 20  5 25 10 15 29  7 13 21 31 19 17 30
  3  2 23 28  4 11 24 14]"	"[False  True False False False False False False False False  True False
 False False False False False  True False False False False False  True
 False False False False False False  True False]"	True
6	./A-VRP/A-n32-k5.vrp	32	0.1	1136	GRASP	0	0.15624666213989258	1058	"[ 0 27 20 25 29  9 18  8 11 22 14 24 30 12 16  7 26  1 13 17 21 19 31  5
 10 15  4 28 23  3  6  2]"	"[False  True False False False False False False False False False  True
 False False False False False  True False False False False False  True
 False False False False False False False  True]"	True
7	./A-VRP/A-n32-k5.vrp	32	0.1	1136	ILS	0	0.1249997615814209	917	"[ 0 16 12  1 30 26 14 20  5 25 10 29 15  2  3 23 18 22  9  8  4 11 28  6
  7 13 21 19 17 31 27 24]"	"[False  True False False False False False  True False False False False
 False False False  True False False False False False False False False
  True False False False False False  True False]"	True
8	./A-VRP/A-n32-k5.vrp	32	0.1	1136	Simulated Annealing	0	3.718752861022949	938	"[ 0 21 31 19 17 13  7 26 20  5 25 10 18 23  3  2  6 30 16  1 14  9 22 15
 29 27  8 11  4 28 24 12]"	"[False  True False False False False False False  True False False False
 False False False False False  True False False False False False False
 False  True False False False False False  True]"	True
9	./A-VRP/A-n32-k5.vrp	32	0.1	1136	Tabu Search	0	0.0781254768371582	962	"[ 0 30 26  7 13 21  1 12 14 27 20  5 29 25 10 15 22  6  2  3 23 28  4 11
 18 16 31 19 17  8  9 24]"	"[False  True False False False False False False  True False False False
 False False False False False  True False False False False False False
 False  True False False False False False  True]"	True
10	./A-VRP/A-n32-k5.vrp	32	0.1	1136	GRASP Tabu	0	3.8437469005584717	855	"[ 0  6 23  3  2  7 16 26 27 14 18 22  9  8 11  4 28 20  5 25 10 15 29 24
  1 13 21 31 19 17 12 30]"	"[False  True False False False False False False  True False False False
 False False False False False  True False False False False False False
  True False False False False False  True False]"	True
11	./A-VRP/A-n32-k5.vrp	32	0.1	1136	ILS Tabu	0	1.515625238418579	861	"[ 0 30 26 13 21 31 19 17 14 22  9 15 10 25 29  5 20  3  2 23 28  4 11  8
 18 16 12  1  7  6 27 24]"	"[False  True False False False False False False False  True False False
 False False False False False  True False False False False False False
 False  True False False False False  True False]"	True
12	./A-VRP/A-n32-k5.vrp	32	0.2	1235	GRASP	0	0.0937495231628418	1089	"[ 0 30 27 14 24 20  5 15 29 12  1 13  6  3 23 28 18  7 21 17 31 19 16 26
  2  8 11  4 22  9 10 25]"	"[False  True False False False False False False False  True False False
 False False False False False  True False False False False False  True
 False False False False False False False  True]"	True
